taxon,clade,clade2,
Dornogov_troodontid,Theropoda,,
Dromaeosaurus_albertensis,Theropoda,,
Dryptosaurus_aquilunguis,Theropoda,,
Dubreuillosaurus_valesdunensis,Theropoda,,
Duriavenator_hesperis,Theropoda,,
El_Brete_oviraptor,Theropoda,,
Elaphrosaurus_bambergi,Theropoda,,
Enigmosaurus_mongoliensis,Theropoda,,
Eoraptor_lunensis,Theropoda,,
Eotyrannus_lengi,Theropoda,,
Erlikosaurus_andrewsi,Theropoda,,
Eshanosaurus_deguchiianus,Theropoda,,
Eustreptospondylus_oxoniensis,Theropoda,,
Falcarius_utahensis,Theropoda,,
Fukuiraptor_kitadaniensis,Theropoda,,
Gallimimus_bullatus,Theropoda,,
Garudimimus_brevipes,Theropoda,,
Gasosaurus_constructus,Theropoda,,
Giganotosaurus_carolinii,Theropoda,,
Gojirasaurus_quayi,Theropoda,,
Gorgosaurus_libratus,Theropoda,,
Guaibasaurus_candelariensis,Theropoda,,
Guanlong_wucaii,Theropoda,,
Gugyedong_maniraptoran,Theropoda,,
Harpymimus_okladnikovi,Theropoda,,
Herrerasaurus_ischigualastensis,Theropoda,,
Huaxiagnathus_orientalis,Theropoda,,
Ilokelesia_aguadagrandensis,Theropoda,,
Incisivosaurus_gauthieri,Theropoda,,
Ingenia_yanshini,Theropoda,,
Irritator_challengeri,Theropoda,,
Jinfengopteryx_elegans,Theropoda,,
Kamyn_Khondt_oviraptorine,Theropoda,,
Khaan_mckennai,Theropoda,,
Lameta_abelisaur,Theropoda,,
Liliensternus_liliensterni,Theropoda,,
Lophostropheus_airelensis,Theropoda,,
Lourinhanosaurus_antunesi,Theropoda,,
Magnosaurus_nethercombensis,Theropoda,,
Majungasaurus_crenatissimus,Theropoda,,
Mapusaurus_roseae,Theropoda,,
Masiakasaurus_knopfleri,Theropoda,,
Megalosaurus_bucklandii,Theropoda,,
Mei_long,Theropoda,,
Microraptor_zhaoianus,Theropoda,,
Microvenator_celer,Theropoda,,
Mirischia_asymmetrica,Theropoda,,
Monolophosaurus_jiangi,Theropoda,,
Mononykus_olecranus,Theropoda,,
Nanotyrannus_lancensis,Theropoda,,
Nanshiungosaurus_brevispinus,Theropoda,,
Nedcolbertia_justinhofmanni,Theropoda,,
Neovenator_salerii,Theropoda,,
Neuquenraptor_argentinus,Theropoda,,
Noasaurus_leali,Theropoda,,
Nomingia_gobiensis,Theropoda,,
Nothronychus_mckinleyi,Theropoda,,
Nqwebasaurus_thwazi,Theropoda,,
Ornitholestes_hermanni,Theropoda,,
Ornithomimus_edmontonicus,Theropoda,,
Ornithomimus_velox,Theropoda,,
Oviraptor_philoceratops,Theropoda,,
Parvicursor_remotus,Theropoda,,
Patagonykus_puertai,Theropoda,,
Pelecanimimus_polyodon,Theropoda,,
Piatnitzkysaurus_floresi,Theropoda,,
Poekilopleuron_bucklandii,Theropoda,,
Proceratosaurus_bradleyi,Theropoda,,
Procompsognathus_triassicus,Theropoda,,
Protarchaeopteryx_robusta,Theropoda,,
Quarry_9_coelurosaur,Theropoda,,
Rahonavis_ostromi,Theropoda,,
Rinchenia_mongoliensis,Theropoda,,
Rugops_primus,Theropoda,,
Sarcosaurus_woodi,Theropoda,,
Saurornithoides_mongoliensis,Theropoda,,
Saurornitholestes_langstoni,Theropoda,,
Scipionyx_samniticus,Theropoda,,
Segisaurus_halli,Theropoda,,
Segnosaurus_galbinensis,Theropoda,,
Shenzhousaurus_orientalis,Theropoda,,
Shuvuuia_deserti,Theropoda,,
Siamotyrannus_isanensis,Theropoda,,
Sinornithoides_youngi,Theropoda,,
Sinornithomimus_dongi,Theropoda,,
Sinornithosaurus_millenii,Theropoda,,
Sinosauropteryx_prima,Theropoda,,
Sinovenator_changii,Theropoda,,
Sinraptor_dongi,Theropoda,,
Spinosaurus_aegypticus,Theropoda,,
Spinostropheus_gautieri,Theropoda,,
Staurikosaurus_pricei,Theropoda,,
Stokesosaurus_clevelandi,Theropoda,,
Struthiomimus_altus,Theropoda,,
Suchomimus_tenerensis,Theropoda,,
Szechuanosaurus_zigongensis,Theropoda,,
Tarbosaurus_bataar,Theropoda,,
Torvosaurus_tanneri,Theropoda,,
Troodon_formosus,Theropoda,,
Tsaagan_mangas,Theropoda,,
Tugulusaurus_faciles,Theropoda,,
Two_Medicine_tyrannosaurine,Theropoda,,
Tyrannosaurus_rex,Theropoda,,
Tyrannotitan_chubutensis,Theropoda,,
Unenlagia_comahuensis,Theropoda,,
Utahraptor_ostrommaysi,Theropoda,,
Velociraptor_mongoliensis,Theropoda,,
Velocisaurus_unicus,Theropoda,,
Xenotarsosaurus_bonapartei,Theropoda,,
Xinjiangovenator_parvus,Theropoda,,
Xuanhanosaurus_qilixiaensis,Theropoda,,
Yangchuanosaurus_shangyouensis,Theropoda,,
Zanabazar_junior,Theropoda,,
Zupaysaurus_rougieri,Theropoda,,
Eoabelisaurus,Theropoda,,
Manidens_condorensis,Ornithischia,,
Patagosaurus,Sauropodomorpha,,
Angaturama,Theropoda,,
Genusaurus,Theropoda,,
Gobititan,Sauropodomorpha,,
Harpymimus,Theropoda,,
Irritator,Theropoda,,
Koreaceratops_hwaseongensis,Ornithischia,,
Nanyangosaurus_zhugeii,Ornithischia,,
Rebbachisaurus,Sauropodomorpha,,
Silvisaurus_condrayi,Ornithischia,,
Sonorasaurus,Sauropodomorpha,,
Asilisaurus_kongwe,Dinosauromorpha,,
Acrocanthosaurus,Theropoda,,
Alxasaurus,Theropoda,,
Archaeoceratops_yujingziensis,Ornithischia,,
Beishanlong,Theropoda,,
Boluochia,Theropoda,,
Chaoyangia,Theropoda,,
Chubutisaurus,Sauropodomorpha,,
Comahuesaurus,Sauropodomorpha,,
Elrhazosaurus_nigeriensis,Ornithischia,,
Eocarcharia,Theropoda,,
Eocathayornis,Theropoda,,
Gansus,Theropoda,,
Genyodectes,Theropoda,,
Jeholornis,Theropoda,,
Jianchangornis,Theropoda,,
Jinzhousaurus_yangi,Ornithischia,,
Longipteryx,Theropoda,,
Microraptor_gui,Theropoda,,
Microraptor_zhaoianus,Theropoda,,
Microvenator,Theropoda,,
Nigersaurus,Sauropodomorpha,,
Ouranosaurus_nigeriensis,Ornithischia,,
Penelopognathus_weishampeli,Ornithischia,,
Pengornis,Theropoda,,
Psittacosaurus_gobiensis,Ornithischia,,
Psittacosaurus_sinensis,Ornithischia,,
Qiaowanlong,Sauropodomorpha,,
Rapaxavis,Theropoda,,
Sapeornis,Theropoda,,
Schizooura,Theropoda,,
Shamosaurus_scutatus,Ornithischia,,
Similicaudipteryx,Theropoda,,
Sinornithosaurus,Theropoda,,
Sinotyrannus,Theropoda,,
Songlingornis,Theropoda,,
Suchomimus,Theropoda,,
Suzhousaurus,Theropoda,,
Tangvayosaurus,Sauropodomorpha,,
Tapuiasaurus,Sauropodomorpha,,
Theiophytalia_kerri,Ornithischia,,
Tyrannotitan,Theropoda,,
Venenosaurus,Sauropodomorpha,,
Xiongguanlong,Theropoda,,
Yanornis,Theropoda,,
Yixianornis,Theropoda,,
Zhongjianornis,Theropoda,,
Agilisaurus_louderbacki,Ornithischia,,
Chuandongocoelurus,Theropoda,,
Condorraptor,Theropoda,,
Datousaurus,Sauropodomorpha,,
Hexinlusaurus_multidens,Ornithischia,,
Hexinlusaurus_multidens,Ornithischia,,
Huayangosaurus_taibaii,Ornithischia,,
Omeisaurus_jiaoi,Sauropodomorpha,,
Omeisaurus_junghsiensis,Sauropodomorpha,,
Omeisaurus_maoanus,Sauropodomorpha,,
Omeisaurus_tianfuensis,Sauropodomorpha,,
Piatnizkysaurus,Theropoda,,
Shunosaurus,Sauropodomorpha,,
Xuanhuaceratops_niei,Ornithischia,,
Yandusaurus_hongheensis,Ornithischia,,
Yangchuanosaurus_zigongensis,Theropoda,,
Amargasaurus,Sauropodomorpha,,
Archaeoceratops_oshimai,Ornithischia,,
Cedarorestes_crichtoni,Ornithischia,,
Cedarosaurus,Sauropodomorpha,,
Dakotadon_lakotaensis,Ornithischia,,
Dongbeititan,Sauropodomorpha,,
Eotyrannus,Theropoda,,
Equijubus_normani,Ornithischia,,
Euhelopus,Sauropodomorpha,,
Falcarius,Theropoda,,
Fukuiraptor,Theropoda,,
Fukuisaurus_tetoriensis,Ornithischia,,
Gastonia_burgei,Ornithischia,,
Gideonmantellia_amosanjuanae,Ornithischia,,
Hippodraco_scutodens,Ornithischia,,
Hoplitosaurus_marshi,Ornithischia,,
Iguanacolossus_fortis,Ornithischia,,
Iguanodon_bernissartensis,Ornithischia,,
Iguanodon_seeleyi,Ornithischia,,
Neovenator,Theropoda,,
