occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
380898,occ,22371,,36150,Phuwiangosaurus sirindhornae,species,56410,,Phuwiangosaurus sirindhornae,species,56410,Barremian,Aptian,129.4,113,9665
380900,occ,,,36151,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,9665
380901,occ,,,36152,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,9665
380902,occ,,,36153,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,31098
380907,occ,,,36154,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,9665
380909,occ,,,36155,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,9665
380910,occ,,,36156,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,13040
380911,occ,,,36157,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Barremian,Aptian,129.4,113,9665
381744,occ,,,36232,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Campanian,,83.6,72.1,9715
381747,occ,,,36234,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Maastrichtian,,72.1,66,9715
381762,occ,18646,,36238,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Late Campanian,,83.5,70.6,9715
382135,occ,,,36267,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Early Bajocian,Early Bathonian,171.6,164.7,17017
382146,occ,,,36270,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Kimmeridgian,,157.3,152.1,9738
382508,occ,18089,,36366,n. gen. Aragosaurus n. sp. ischiaticus,species,70637,,Aragosaurus ischiaticus,species,70637,Berriasian,,145,139.8,7241
382509,occ,21822,,36365,"""Pleurocoelus"" valdensis",species,64560,nomen dubium,Sauropoda,unranked clade,38653,Early Barremian,,130,125.45,19754
382510,occ,27634,,36365,Somphospondyli indet.,unranked clade,66514,,Somphospondyli,unranked clade,66514,Early Barremian,,130,125.45,43435
382513,occ,21827,,36367,"""Pleurocoelus"" valdensis",species,64560,nomen dubium,Sauropoda,unranked clade,38653,Late Hauterivian,,136.4,130,19754
382514,occ,,,36367,Camarasauridae indet. A informal,family,38696,obsolete variant of,Camarasauridae,family,38696,Late Hauterivian,,136.4,130,7241
382553,occ,21821,,36372,"""Pleurocoelus"" valdensis",species,64560,nomen dubium,Sauropoda,unranked clade,38653,Early Barremian,,130,125.45,19754
382586,occ,31207,,36380,Titanosauria indet.,unranked clade,55585,,Titanosauria,unranked clade,55585,Late Maastrichtian,,70.6,66,55386
382588,occ,31735,,36381,cf. Hypselosaurus sp.,genus,38689,,Hypselosaurus,genus,38689,Late Maastrichtian,,70.6,66,56237
384334,occ,18880,,36569,Mamenchisaurus n. sp. sinocanadorum,species,56541,,Mamenchisaurus sinocanadorum,species,56541,Oxfordian,,163.5,157.3,9781
384369,occ,,,36576,Brontosaurus excelsus,species,52982,,Brontosaurus excelsus,species,52982,Kimmeridgian,Tithonian,157.3,145,35184
384371,occ,,,36578,Ornithopsis n. sp. leedsii,species,56552,,Ornithopsis leedsii,species,56552,Early Callovian,,164.7,161.2,25692
384372,occ,,,36580,Ornithopsis sp.,genus,52990,,Ornithopsis,genus,52990,Late Hauterivian,Early Aptian,136.4,122.46,9795
385573,occ,,F,36728,Megaloolithus trempii,species,192240,subjective synonym of,Megaloolithus baghensis,species,81824,Late Maastrichtian,,70.6,66,36723
387068,occ,23299,,36971,cf. Euhelopus sp.,genus,38701,,Euhelopus,genus,38701,Aptian,Albian,125,100.5,33215
