treeID,clade,rep,null_DIC,slow_DIC,asym_DIC,null_post_mean_intercept,null_post_mean,null_lower95_CI_intercept,null_upper95_CI_intercept,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean_intercept,slow_post_mean,slow_post_mean_2,slow_lower95_CI_intercept,slow_upper95_CI_intercept,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean_intercept,asym_post_mean,asym_post_mean_sqrt,asym_lower95_CI_intercept,asym_upper95_CI_intercept,asym_lower95_CI,asym_upper95_CI,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
tree_4,all,3,909.4034702,905.0962714,901.9746491,2.00496268,0.004819162,1.814796304,2.210609442,0.003328004,0.006204656,450,0.002222222,1.709616849,0.012798116,-3.62E-05,1.394411758,2.001405403,0.006857849,0.018657423,-6.53E-05,-1.16E-05,540.1320455,0.002222222,0.952483367,-0.007838361,0.249528523,0.268868824,1.600178479,-0.015215887,1.86E-04,0.104538716,0.400358416,312.704736,0.008888889
tree_4,all,37,927.5332895,919.9085238,915.500951,2.061519663,0.005094581,1.862936151,2.2342598,0.003567872,0.006742803,450,0.002222222,1.685906119,0.015189231,-4.60E-05,1.390933969,2.044901832,0.009504746,0.021313449,-7.04E-05,-1.74E-05,450,0.002222222,0.813868192,-0.01016238,0.298592505,0.164207243,1.480086309,-0.019141655,-0.003137415,0.139526351,0.442134773,450,0.026666667
tree_4,all,38,922.6528847,915.8809153,911.1549542,2.084902819,0.004891442,1.877785707,2.282062209,0.003395003,0.006484289,450,0.002222222,1.714893257,0.014730325,-4.47E-05,1.423412498,2.039239458,0.008662811,0.021093073,-7.44E-05,-1.89E-05,450,0.002222222,0.857048876,-0.009862849,0.289748333,0.195066546,1.49561481,-0.017844197,-0.002093451,0.130984512,0.431159981,284.3985626,0.013333333
tree_4,all,39,918.7496547,911.7785771,906.8672333,2.058976187,0.004997824,1.857782817,2.24918048,0.003477634,0.006371497,450,0.002222222,1.708948813,0.014458157,-4.34E-05,1.435978703,1.977412803,0.009109457,0.020362184,-7.18E-05,-2.22E-05,450,0.002222222,0.850152993,-0.009718295,0.287379253,0.206286807,1.443897193,-0.017970149,-0.003669841,0.155582542,0.433449722,369.9763109,0.008888889
tree_4,all,40,922.0231102,914.2559049,908.5849782,2.104093752,0.004986073,1.8872064,2.304994916,0.003526942,0.006312276,450,0.002222222,1.726013897,0.014907195,-4.54E-05,1.399512021,2.023147474,0.008630416,0.020966796,-7.14E-05,-1.71E-05,450,0.002222222,0.816270302,-0.010430942,0.30135191,0.202783908,1.458176154,-0.016918347,-0.002872082,0.15697461,0.429525997,450,0.004444444
tree_4,all,41,918.4258728,911.7744572,906.9808101,2.067666861,0.005091148,1.854347571,2.258162875,0.003732485,0.006699331,450,0.002222222,1.708468942,0.014744329,-4.42E-05,1.400570522,1.98465668,0.00933915,0.020635137,-7.10E-05,-2.04E-05,450,0.002222222,0.870468293,-0.009563648,0.284316999,0.206490981,1.49728157,-0.017404868,-0.002283293,0.148197245,0.440593452,365.6148517,0.013333333
tree_4,all,42,916.2402536,910.2337124,905.7258778,2.045585408,0.00517968,1.844039593,2.253742771,0.003560453,0.006594357,450,0.002222222,1.705228733,0.014058266,-4.11E-05,1.404392237,1.988681933,0.008478453,0.019775923,-6.68E-05,-1.72E-05,450,0.002222222,0.881600768,-0.009193162,0.277452886,0.245019387,1.568301994,-0.015885021,-0.001287197,0.131963153,0.412135198,450,0.002222222
tree_4,all,43,921.1464586,914.7446385,910.29485,2.022437805,0.004679152,1.807248094,2.204648301,0.003162722,0.006277703,450,0.002222222,1.676886883,0.014612455,-4.48E-05,1.392290742,1.995711516,0.009114122,0.020448724,-6.83E-05,-1.75E-05,450,0.002222222,0.826758301,-0.010052398,0.289684282,0.214775162,1.561176686,-0.018432997,-0.002717972,0.146252868,0.449157448,450,0.035555556
tree_4,all,44,926.2366038,918.1470777,914.2407572,2.05666291,0.005070158,1.849107072,2.262236946,0.003582,0.006582652,450,0.002222222,1.667457014,0.01551581,-4.77E-05,1.379075106,1.964509822,0.009154453,0.02154535,-7.56E-05,-2.19E-05,450,0.002222222,0.808916456,-0.010205027,0.297815043,0.080535226,1.504958621,-0.01801827,-0.001562084,0.118666283,0.429843675,357.3943233,0.026666667
tree_4,all,45,913.1900579,909.1413278,904.3162036,2.01265251,0.004770989,1.808460172,2.216760763,0.003476651,0.006558281,386.0840233,0.002222222,1.709114944,0.013354375,-3.92E-05,1.405806011,2.006795195,0.007814983,0.019308428,-6.44E-05,-1.38E-05,450,0.002222222,0.920261945,-0.008592203,0.26180724,0.294645887,1.545288315,-0.015639007,-0.001383876,0.113611016,0.381746696,450,0.008888889
tree_4,all,46,923.0132719,916.7921387,912.937646,2.024329461,0.004629565,1.80170282,2.245327682,0.003022315,0.006119918,450,0.002222222,1.696076717,0.014173838,-4.32E-05,1.399684416,1.969315693,0.008496397,0.020377946,-6.80E-05,-1.66E-05,450,0.002222222,0.84452255,-0.009805632,0.285807571,0.205620097,1.54018819,-0.017293743,-0.001377333,0.13570325,0.438714811,450,0.008888889
tree_4,all,47,917.8230299,910.4032063,905.7872702,2.069729815,0.005140812,1.870809712,2.258412764,0.003732402,0.006643501,450,0.002222222,1.710190489,0.014786406,-4.43E-05,1.423840889,2.042872626,0.008595967,0.021254503,-7.37E-05,-1.92E-05,450,0.002222222,0.853680138,-0.009481456,0.286096771,0.261491085,1.542539264,-0.017269039,-0.002247424,0.139696132,0.426050314,450,0.008888889
tree_4,all,4,917.400889,910.5094885,906.473756,2.049980803,0.004907136,1.850941592,2.264898502,0.003427626,0.006296504,514.5219956,0.002222222,1.713783104,0.014073071,-4.22E-05,1.379005757,1.971620651,0.00801858,0.019160549,-6.53E-05,-1.62E-05,261.4124588,0.002222222,0.855639153,-0.009749219,0.283945359,0.241104999,1.578426973,-0.016411524,-0.001575873,0.134680861,0.413728971,450,0.017777778
tree_4,all,48,921.9440108,915.1807251,910.2380781,2.040533931,0.004864839,1.841707472,2.253292,0.003177426,0.006275724,450,0.002222222,1.699738668,0.01437726,-4.34E-05,1.439838029,2.006573897,0.008827877,0.019665894,-6.77E-05,-1.84E-05,450,0.002222222,0.839052984,-0.009787999,0.28695078,0.15952656,1.59903276,-0.017026981,-0.001300896,0.131930864,0.440226045,450,0.022222222
tree_4,all,49,917.3881148,911.3751714,908.0805324,2.044020413,0.005218944,1.83449184,2.209512636,0.0038508,0.006803651,390.0520042,0.002222222,1.681559646,0.014511705,-4.24E-05,1.416314429,2.02055224,0.00836981,0.020468116,-6.89E-05,-1.72E-05,450,0.002222222,0.912095844,-0.008577373,0.268083617,0.264765184,1.522537215,-0.015298992,-5.86E-04,0.129030724,0.402259448,450,0.002222222
tree_4,all,50,919.3357858,914.1005112,909.97558,2.034377363,0.00506469,1.835136942,2.232598309,0.003703176,0.006569308,450,0.002222222,1.732241522,0.013537393,-3.87E-05,1.392394898,1.973864162,0.0077514,0.018842847,-6.15E-05,-1.34E-05,578.8660807,0.002222222,0.920963068,-0.008440808,0.264558974,0.240609264,1.628861229,-0.017789877,-0.001542064,0.136357488,0.445672937,450,0.022222222
tree_4,all,5,922.24426,915.0223991,910.7955558,2.048261527,0.005112369,1.862417524,2.265861175,0.003685414,0.00685913,450,0.002222222,1.701356385,0.014734935,-4.39E-05,1.392050347,1.96369307,0.009315615,0.02131095,-7.04E-05,-1.67E-05,421.6042494,0.002222222,0.862830843,-0.009379907,0.282337444,0.200799239,1.520639453,-0.017224728,-0.001725472,0.133940585,0.429591287,450,0.031111111
tree_4,all,6,921.9783643,916.3332301,912.3555288,2.039928114,0.005188834,1.841404357,2.226693534,0.003665849,0.006777516,450,0.002222222,1.716124324,0.013672142,-3.87E-05,1.431782296,1.994260712,0.007343449,0.018886965,-6.36E-05,-1.37E-05,450,0.002222222,0.900773132,-0.008517719,0.268494548,0.236834731,1.574758589,-0.016291451,-7.63E-04,0.126146235,0.422734962,347.6961611,0.004444444
tree_4,all,7,932.7285135,922.9214344,918.8543969,2.097137032,0.005261198,1.910230606,2.285282974,0.003777384,0.006692635,450,0.002222222,1.695038807,0.015829573,-4.87E-05,1.388404121,1.96032652,0.010470164,0.022285345,-7.68E-05,-2.26E-05,404.0697165,0.002222222,0.761550278,-0.010960458,0.314753551,0.072707211,1.421503731,-0.018648612,-0.003657686,0.173904864,0.463208048,450,0.022222222
