identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
Rebbachisaurus n. sp. tessonei,species,recombined as,Limaysaurus_tessonei,species,Early Cenomanian,,99.6,93.5
,,,,,,,,
n. gen. Lingwulong n. sp. shenqi,species,,Lingwulong_shenqi,species,Late Toarcian,Bajocian,180.1,168.3
,,,,,,,,
Lirainosaurus cf. astibiae,species,,Lirainosaurus_astibiae,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
n. gen. Liubangosaurus n. sp. hei,species,,Liubangosaurus_hei,species,Aptian,,125,113
,,,,,,,,
n. gen. Lohuecotitan n. sp. pandafilandi,species,,Lohuecotitan_pandafilandi,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
n. gen. Losillasaurus n. sp. giganteus,species,,Losillasaurus_giganteus,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
Apatosaurus alenquerensis,species,recombined as,Lourinhasaurus_alenquerensis,species,Early Kimmeridgian,Late Kimmeridgian,155.7,150.8
,,,,,,,,
Brachiosaurus n. sp. atalaiensis,species,recombined as,Lusotitan_atalaiensis,species,Late Kimmeridgian,Early Tithonian,155.7,145
,,,,,,,,
Magyarosaurus dacus,species,,Magyarosaurus_dacus,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
Malarguesaurus florenciae,species,,Malarguesaurus_florenciae,species,Early Coniacian,Middle Coniacian,89.3,85.8
,,,,,,,,
"""Gigantosaurus"" dixeyi",species,recombined as,Malawisaurus_dixeyi,species,Aptian,,125,113
,,,,,,,,
Mamenchisaurus n. sp. anyuensis,species,,Mamenchisaurus_anyuensis,species,Late Jurassic,,163.5,145
,,,,,,,,
Mamenchisaurus constructus,species,,Mamenchisaurus_constructus,species,Late Jurassic,,163.5,145
,,,,,,,,
n. gen. Zigongosaurus n. sp. fuxiensis,species,recombined as,Mamenchisaurus_fuxiensis,species,Oxfordian,,163.5,157.3
,,,,,,,,
Mamenchisaurus hochuanensis,species,,Mamenchisaurus_hochuanensis,species,Oxfordian,,163.5,157.3
,,,,,,,,
Mamenchisaurus jingyanensis,species,,Mamenchisaurus_jingyanensis,species,Oxfordian,,163.5,157.3
,,,,,,,,
Mamenchisaurus n. sp. sinocanadorum,species,,Mamenchisaurus_sinocanadorum,species,Oxfordian,,163.5,157.3
,,,,,,,,
Mamenchisaurus n. sp. youngi,species,,Mamenchisaurus_youngi,species,Oxfordian,,163.5,157.3
,,,,,,,,
n. gen. Mansourasaurus n. sp. shahinae,species,,Mansourasaurus_shahinae,species,Middle Campanian,,83.5,70.6
,,,,,,,,
Amphicoelias n. sp. fragillimus,species,recombined as,Maraapunisaurus_fragillimus,species,Tithonian,,152.1,145
,,,,,,,,
Marisaurus jeffi,species,,Marisaurus_jeffi,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Maxakalisaurus n. sp. topai,species,,Maxakalisaurus_topai,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
Megaloolithus aureliensis,species,,Megaloolithus_aureliensis,species,Early Maastrichtian,,70.6,66
,,,,,,,,
Megaloolithus baghensis,species,,Megaloolithus_baghensis,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Megaloolithus n. sp. cylindricus,species,,Megaloolithus_cylindricus,species,Maastrichtian,,72.1,66
,,,,,,,,
Megaloolithus n. sp. dholiyaensis,species,,Megaloolithus_dholiyaensis,species,Maastrichtian,,72.1,66
,,,,,,,,
Megaloolithus n. sp. dhoridungriensis,species,,Megaloolithus_dhoridungriensis,species,Maastrichtian,,72.1,66
,,,,,,,,
Megaloolithus n. sp. matleyi,species,subjective synonym of,Megaloolithus_jabalpurensis,species,Maastrichtian,,72.1,66
,,,,,,,,
Megaloolithus n. sp. khempurensis,species,,Megaloolithus_khempurensis,species,Maastrichtian,,72.1,66
,,,,,,,,
Megaloolithus mamillare,species,,Megaloolithus_mamillare,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Megaloolithus n. sp. megadermus,species,,Megaloolithus_megadermus,species,Maastrichtian,,72.1,66
,,,,,,,,
Megaloolithus n. sp. microtuberculata,species,,Megaloolithus_microtuberculata,species,Campanian,,83.6,72.1
,,,,,,,,
